Variable,Coefficient,Std.Err,p-value,CI Lower,CI Upper
enjoyment_attention,-0.005579553795058997,0.024490551793009973,0.8197824863108011,-0.05358015327087139,0.042421045680753396
enjoyment_attention:GenderGroup[T.Male],-0.06306563217657261,0.0357885080031854,0.07803964927546714,-0.13320981892323946,0.00707855457009425
enjoyment_attention:GenderGroup[T.Non-binary/Prefer not to say],-0.07835842178142423,0.09111169863726871,0.38977475861714816,-0.256934069680738,0.10021722611788957
enjoymen_boring,-0.09322097653695036,0.0283856645436296,0.0010231352982302637,-0.14885585671969997,-0.03758609635420075
enjoymen_boring:GenderGroup[T.Male],0.000219873041184951,0.04342756074747939,0.9959603405676561,-0.08489658196029999,0.0853363280426699
enjoymen_boring:GenderGroup[T.Non-binary/Prefer not to say],0.011315980079955745,0.11591000688742471,0.9222282521959099,-0.2158634588671863,0.23849541902709778
enjoyment_enjoyed,0.16218146646922724,0.040060179108205064,5.1558856069007244e-05,0.08366495820292141,0.24069797473553306
enjoyment_enjoyed:GenderGroup[T.Male],-0.03497504276307892,0.06242217836017157,0.5752759611510676,-0.15732026418555073,0.08737017865939288
enjoyment_enjoyed:GenderGroup[T.Non-binary/Prefer not to say],0.04911303590133376,0.13229887679647598,0.7104677847192385,-0.21018799781486103,0.30841406961752854
extrinsic_avoid,-0.0383948209210338,0.018545189462766617,0.0384206506476145,-0.07474272435452808,-0.002046917487539518
extrinsic_avoid:GenderGroup[T.Male],-0.0076234941699280705,0.025969498438430057,0.7690974348226798,-0.05852277580582016,0.043275787465964013
extrinsic_avoid:GenderGroup[T.Non-binary/Prefer not to say],-0.10643939015340934,0.06992167827624503,0.12794245565399864,-0.24348336131344628,0.030604581006627607
extrinsic_forget,-0.011357962965245346,0.020373933571115815,0.5772027895653977,-0.051290138988043875,0.02857421305755318
extrinsic_forget:GenderGroup[T.Male],-0.02491915009737721,0.030892485897981502,0.41987326332996067,-0.08546730985033246,0.035629009655578046
extrinsic_forget:GenderGroup[T.Non-binary/Prefer not to say],-0.04254744640188463,0.09079886062257361,0.6393626611424441,-0.22050994305940103,0.13541505025563177
extrinsic_compelled,-0.013166543070535462,0.017535051548484684,0.4527309338641258,-0.04753461257261875,0.021201526431547824
extrinsic_compelled:GenderGroup[T.Male],0.028823877825478916,0.025149767936104978,0.25175823905449457,-0.020468761548827086,0.07811651719978492
extrinsic_compelled:GenderGroup[T.Non-binary/Prefer not to say],0.06893239003074368,0.07001991274424438,0.3248852713455682,-0.06830411714861244,0.2061688972100998
extrinsic_escape,-0.016455126518287552,0.021175793234997436,0.43711599948285274,-0.05795891860294945,0.025048665566374348
extrinsic_escape:GenderGroup[T.Male],0.050231378531595934,0.03272706393373123,0.12481884252756703,-0.013912488098257021,0.1143752451614489
extrinsic_escape:GenderGroup[T.Non-binary/Prefer not to say],0.1754927137385219,0.08734932857094518,0.04452752782591755,0.004291175665713798,0.34669425181133
Group Var,1.0,6612433.5697677,0.9999998793357162,-12960130.646908313,12960132.646908313
