age,sex,autonomy_freedom,autonomy_interesting,autonomy_options,competence_matched,competence_capable,competence_competent,related_important,related_fulfilling,related_not_close,enjoyment_fun,enjoyment_attention,enjoymen_boring,enjoyment_enjoyed,extrinsic_avoid,extrinsic_forget,extrinsic_compelled,extrinsic_escape,spane_acnh_positive,spane_acnh_negative,spane_acnh_good,spane_acnh_bad,spane_acnh_pleasant,spane_acnh_unpleasant,spane_acnh_happy,spane_acnh_sad,spane_acnh_afraid,spane_acnh_joyful,spane_acnh_angry,spane_acnh_contented,Hours,happiness_value
68,2,6,2,2,6,6,6,4,4,5,3,2,2,2,2,5,1,3,3,2,3,2,3,2,3,2,1,3,2,2,1.42,1.0
19,2,5,5,7,4,6,7,7,5,1,7,3,1,6,5,7,6,7,6,1,7,2,4,3,5,1,1,4,4,4,1.93,3.0
27,2,6,5,5,7,7,7,4,3,2,6,2,2,6,1,1,4,5,5,1,6,1,5,1,7,1,1,5,1,5,1.43,4.5
18,1,6,5,5,6,5,5,5,5,3,6,3,2,6,2,4,2,4,6,1,6,1,6,1,6,1,1,6,2,6,1.81,4.83
36,2,6,5,5,2,5,5,4,5,1,6,3,2,6,3,2,4,2,4,2,4,1,4,1,5,1,1,5,1,4,1.17,3.17
23,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,1.22,0.0
36,2,4,5,4,3,4,4,5,5,3,6,5,3,3,4,2,2,2,5,2,5,2,4,5,5,1,1,4,1,4,1.17,2.5
22,2,7,7,7,7,7,7,5,5,2,7,1,1,7,5,6,7,2,7,2,7,2,7,2,7,2,7,4,1,7,1.67,3.83
36,2,5,6,5,2,4,7,5,3,4,6,4,2,5,1,1,1,5,5,2,6,2,7,1,4,2,1,6,1,6,1.67,4.17
33,2,5,3,3,4,6,7,3,2,4,5,5,5,4,2,5,5,5,4,2,3,1,6,2,4,2,1,1,1,5,1.21,2.33
19,1,6,7,7,6,6,6,5,5,2,7,1,1,7,5,5,6,2,6,1,6,1,6,1,5,1,1,4,1,4,1.81,4.17
21,1,6,1,3,4,1,5,2,3,4,3,7,6,6,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1.85,0.0
19,2,7,6,7,5,6,7,4,5,3,7,4,3,6,4,7,5,1,7,1,4,2,5,2,7,2,1,6,3,5,1.07,3.83
23,1,6,6,6,5,6,6,5,5,2,7,1,1,6,4,5,4,5,7,2,6,2,5,2,6,2,1,5,3,5,1.81,3.67
29,1,6,6,5,7,6,6,5,5,2,7,1,1,7,1,4,6,5,5,2,5,2,7,2,5,1,1,5,4,7,2.03,3.67
24,1,6,6,5,5,6,6,6,6,2,7,2,1,7,2,6,4,5,6,2,4,2,5,2,4,1,1,4,1,5,1.81,3.17
20,2,5,2,2,2,5,6,5,5,3,6,5,5,4,1,1,6,1,3,1,4,1,3,1,3,1,1,1,1,3,1.43,1.83
51,1,7,5,5,4,7,7,7,7,1,7,6,5,7,5,7,5,7,7,1,7,1,7,1,5,1,1,6,1,7,2.89,5.5
32,1,5,3,5,3,6,7,7,7,1,7,2,2,6,5,2,5,4,6,2,6,1,7,2,6,4,1,2,3,6,2.57,3.33
32,1,5,6,6,4,6,6,7,7,2,7,1,1,7,4,6,6,7,5,1,7,2,6,1,6,2,2,6,2,5,2.03,4.17
30,2,7,7,7,6,7,7,5,5,2,7,1,2,7,1,5,5,4,7,1,6,1,5,1,7,1,1,7,1,5,1.01,5.17
22,1,6,5,5,3,7,7,6,6,2,6,5,3,7,2,5,6,5,7,1,6,1,7,1,7,1,1,6,4,6,1.74,5.0
45,2,6,6,6,4,7,7,5,5,4,6,2,4,6,3,6,6,7,5,2,5,2,5,2,4,2,3,4,2,7,1.97,2.83
23,2,6,5,6,7,6,7,5,5,3,6,5,3,5,1,4,2,4,7,2,7,1,6,3,7,1,1,7,2,7,1.23,5.17
34,1,5,7,5,6,7,7,5,5,3,7,5,5,6,2,5,3,6,6,2,4,2,7,1,6,3,1,6,3,7,2.96,4.0
31,2,7,7,7,5,7,7,5,5,1,7,1,1,7,1,1,7,3,7,1,7,1,7,1,7,1,1,7,1,4,1.67,5.5
33,1,7,6,6,7,7,7,7,7,2,7,2,2,7,2,2,5,3,5,1,5,1,5,1,5,1,1,5,1,5,1.37,4.0
27,1,7,5,5,7,6,6,5,5,2,7,2,2,7,2,5,3,5,6,2,6,1,6,1,6,2,1,5,2,7,1.45,4.5
25,2,3,3,5,6,6,7,5,5,3,6,4,5,6,3,5,4,5,5,3,5,3,4,4,4,3,1,3,2,4,1.17,1.5
48,1,5,6,6,5,6,6,4,4,5,6,2,2,6,2,2,2,2,6,1,6,1,6,1,6,1,1,6,2,5,2.17,4.67
