autonomy_freedom,autonomy_interesting,autonomy_options,competence_matched,competence_capable,competence_competent,related_important,related_fulfilling,related_not_close,enjoyment_fun,enjoyment_attention,enjoymen_boring,enjoyment_enjoyed,extrinsic_avoid,extrinsic_forget,extrinsic_compelled,extrinsic_escape
-0.06348296659097287,-0.14582265576429562,-0.10644618825572706,-0.03213708937231786,-0.17370822161595242,0.09172906701216106,-0.19151231735137572,-0.06588958385236765,-0.18145021035248646,-0.4825915380342849,0.00644572691439862,-0.06493332224829829,-0.25898735859955196,0.057512101858928875,0.03349582905324496,-0.033799620914487606,0.007281121389260079
0.11909498695724324,0.08674050334400818,0.0033714623576133816,-0.008451642075788185,-0.160056633676013,-0.004964005232004638,0.026691231962959135,0.01438818148590144,0.1843787265062565,0.08090141839822536,0.0031136647741732302,0.03538817506545911,0.164504103412728,0.02046121308968395,0.01581277461733407,-0.05408119718753369,0.021718493184780526
-0.02454104198179266,0.04230894733162131,-0.034780832591968645,-0.015784470113685528,-0.0738922619468758,-0.15305170935620482,0.07702868936845335,0.0563382858744626,-0.229603640488167,-0.08682131365104397,-0.014703788971364701,0.010623905432335051,0.0032584270696679597,-0.10220144914097545,-0.010016734506070862,-0.012901628209510818,-0.07537811568365214
-0.2677506105987959,-0.09637948737591615,-0.026084321233147422,0.02564706227019997,-0.5713035543959267,0.05800177110422737,-0.00970499739348952,-0.006123565239304299,-0.18131806185763708,0.020658673137731967,0.022168280842961394,0.019114653859651297,-0.23524626943724797,-0.05923913348282895,0.0030536929103254806,-0.034238603672274624,-0.026604522514608108
0.017459627044827356,0.054337035890121115,0.00702514283480923,0.030237834232475506,-0.11712564842400752,-0.12054773302591912,0.025889442591051193,0.015312477124605267,0.23719681902814047,-0.051726933653485505,0.0022659148364618884,0.012653994452452934,0.1535111498920014,0.026970651268638905,0.016289250318313863,-0.04284387066780255,0.0018748355744719447
0.15225724923885536,0.10558239458401658,0.08196081266289638,0.040546890597415765,0.19815625086000183,0.09188891352114296,0.00585553227656419,0.014473153236594953,0.1947972043383197,0.07814314759240006,0.011273743449082758,0.060062453492273564,0.17196777502727856,0.03196675905514894,-0.025381488959023955,-0.03156114084431465,0.010964116837676556
0.17669919720654434,0.0849996192710023,0.07972193060377776,0.04672944067760909,0.19379856647081398,-0.14858719344923885,0.03621535886186393,0.01605041595975308,0.19376480856146372,0.07453830166226907,0.0008672189643220918,-0.06739083999475952,-0.06626195926115543,0.03402134060387198,0.05019074253733379,-0.009135656848702638,0.00765282449415281
-0.04994569465398854,-0.05934984842985159,-0.09325800543346303,-0.08210359180011437,-0.1174936666065605,-0.12904051773620268,0.018577586193064235,4.059642301399435e-05,-0.05250651879763609,-0.6126811797320443,-0.025020353927011456,-0.05217852804902577,-0.19657635068588206,0.0771609500103159,-0.0045371003681248115,-0.04751818733865548,0.005235405469484249
0.008606264337813627,-0.04084552730634641,0.012373463734220422,0.0071654724337395235,-0.17718588456447834,-0.16304351055521693,0.029255319893181878,0.01583924898640362,0.21198694837443327,-0.027182842880924908,0.0021489174406133316,-0.16867906190047507,-0.1853559308437616,-0.04661790710009882,-0.006545172965925303,-0.058631551023599966,0.008430860659036626
0.1706009516326776,0.08413822919041195,0.07710213441281212,0.045119469624560225,0.2321165984513482,0.10270890013888674,0.09351056797384444,0.06763409729998784,0.17699424672638997,0.07769062873238909,-0.05611948348026999,0.03543020159979733,0.11700870307880905,-0.017084889590059903,0.008881725070100401,-0.03369390771399594,0.00975136315140844
-0.15741110712538103,-0.059315516918545655,-0.00526105595903573,-0.057944997767099264,-0.16582231655163013,-0.13680968429851417,0.016422499084815172,-0.010089961260309793,-0.11243679565752246,-0.4343281447617301,0.0066870526289221745,-0.04360639924345378,-0.16122142361502484,-0.04432374384358354,0.03187307007890922,0.09176098978923164,0.0008786135266109341
